R0000100,R0003300,R0005700,R0060300,R1051600,R1302000,R1302100,R1303400,R6235600,R6502300,R6513700,R6516200,R6520300,R6553600,R7289200,R7289400,R7293430,R7312300,R7329900,R7330000,R7337600,R7344600,R7344700,R7347500,R7347600,R7347700,R7477700,R7477800,R7610300
2724,6,22,-4,-4,0,-4,-4,16,-4,58,4,-4,-4,0,-4,685,50000,2,24000,-4,3,0,3300,3300,3400,1,0,1
2734,6,-4,128,-4,0,-4,-4,16,-4,51,1,10,-4,0,-4,373,2000,2,100000,-4,1,1,1000,9000,0,1,0,1
2746,6,-4,92,-4,0,-4,-4,12,-4,50,6,-4,-4,0,-4,471,30000,5,30000,-4,2,0,5000,0,5000,1,0,1
2771,1,18,88,-4,1,-4,-4,12,-4,54,3,-4,-4,1,-4,373,38000,3,-2,-4,2,0,2000,0,2000,1,1,1
2813,6,22,82,-4,-5,-5,-5,-5,-4,58,1,8,-4,0,-4,623,55000,2,0,-4,1,1,100,1100,100,1,1,1
2823,6,-4,107,-4,0,-4,-4,18,-4,54,1,8,-4,0,0,427,52000,3,-2,-4,2,0,0,0,10000,1,0,1
2827,6,16,87,-4,0,-4,-4,11,-4,60,1,5,-4,0,-4,600,-4,3,26000,-4,1,0,-2,-2,-2,1,0,1
2861,6,-4,-4,-4,1,10,-4,18,-4,58,4,-4,-4,0,-4,507,38000,3,40000,-4,2,1,3000,0,7000,1,0,1
2879,1,-4,124,-4,0,-4,-4,-5,-4,59,4,-4,4,0,-4,373,-2,1,36000,-4,1,0,-2,-2,-2,1,0,0
2905,6,-4,133,-4,0,-4,-4,17,-4,52,1,10,-4,0,1,376,-1,4,-1,-4,-1,1,-2,-2,-2,1,0,0
2908,6,-4,-4,-4,1,15,4,12,-4,51,4,-4,-4,1,0,413,24000,3,24000,-4,1,0,1000,1000,8000,1,0,1
2927,6,-4,136,-4,0,-4,4,17,-4,54,1,8,-4,0,1,512,-4,6,65000,-4,2,1,5000,2500,2500,1,0,0
2943,6,-4,132,16,0,-4,1,17,-4,54,1,4,-4,0,1,373,47000,3,75000,-4,1,0,10000,0,0,1,0,1
2945,6,18,101,-4,0,-4,-4,12,-4,55,1,3,-4,0,-4,548,-4,3,20000,-4,2,0,0,5000,5000,1,1,1
2958,1,17,100,-4,0,-4,-4,12,-4,56,1,4,-4,0,0,373,-1,3,-1,-4,1,0,5000,0,5000,1,0,1
3001,2,19,100,-4,0,-4,-4,12,-4,56,1,5,-4,0,-4,460,35000,3,50000,-4,1,0,0,0,0,1,0,1
3002,6,-4,130,-4,1,7,-4,18,-4,56,4,-4,-4,0,-4,514,42000,3,42000,-4,2,1,2000,2000,6000,1,0,1
3015,6,-4,-4,-4,0,-4,-4,12,-4,52,1,4,-4,0,-4,427,83000,5,50000,-4,2,0,0,0,2000,1,1,0
3016,6,-4,80,-4,0,-4,2,16,-4,53,4,-4,-4,0,-4,373,45000,3,75000,-4,2,1,10000,0,0,1,0,1
3029,6,18,71,-4,0,-4,-4,12,-4,58,6,-4,-4,0,-4,479,-4,3,1400,-4,2,0,500,500,500,1,0,0
3042,6,18,999,-4,0,-4,-4,12,-4,54,6,-4,-4,0,-4,448,14000,4,35000,-4,2,0,0,0,0,1,0,1
3062,6,-4,112,-4,0,-4,-4,12,-4,50,4,-4,-4,0,-4,428,34000,2,1200,-4,1,0,0,0,2000,1,0,1
3079,6,-4,-4,-4,1,15,4,12,-4,50,6,-4,-4,1,0,439,15000,4,30000,-4,2,0,-2,-2,-2,1,0,1
3104,6,-4,108,-4,0,-4,5,18,-4,57,1,10,-4,0,1,416,-1,4,-2,-4,2,0,5000,5000,0,1,0,1
3108,6,-4,90,17,0,-4,1,17,-4,54,1,8,-4,0,1,563,60000,3,75000,-4,2,1,5000,0,5000,1,0,1
3110,6,-4,-4,-5,0,-4,-4,13,-4,50,4,-4,-4,0,-4,373,32000,3,32000,-4,1,1,0,5000,5000,1,0,1
3111,6,-4,-4,-5,0,-4,-4,-5,-4,50,6,-4,4,0,-4,467,-4,5,35000,-4,2,0,0,1500,8500,1,1,1
3122,1,21,97,-4,0,-4,-4,18,-4,59,1,1,-4,0,-4,506,-4,2,30000,-4,2,1,0,0,10000,1,0,1
3127,6,-4,101,17,0,-4,4,18,-4,53,1,10,-4,0,1,536,51500,3,93000,-4,2,1,10000,0,0,1,0,0
3129,1,19,83,-4,-5,-5,-5,13,-4,60,1,4,-4,0,-4,594,16000,3,25000,-4,-1,0,-1,-1,-1,1,0,1
3148,6,-4,83,-4,0,-4,-4,-5,-4,52,4,-4,-4,1,-4,668,-4,7,-2,-4,1,0,-2,-2,-2,1,0,0
3149,6,-4,73,-4,-5,-5,-5,12,-4,50,4,-4,-4,0,0,420,4900,7,18000,-4,2,1,0,10000,0,1,0,1
3151,6,17,98,-4,0,-4,-4,12,-4,56,1,5,-4,0,-4,373,-4,2,-2,-4,1,1,-2,-2,-2,1,0,0
3169,6,-4,-4,-4,0,-4,27,12,-4,50,4,-4,-4,0,1,604,17000,5,21000,-4,2,0,0,7500,2500,1,0,1
3174,1,18,103,-4,-5,-5,-5,12,-4,55,1,4,-4,0,0,427,18000,2,24000,-4,1,0,0,0,10000,1,0,0
3195,6,18,999,-4,0,-4,-4,12,-4,59,3,-4,-4,0,-4,416,17600,2,-2,-4,1,0,-2,-2,-2,1,0,0
3199,6,-4,84,-5,0,-4,2,12,-4,52,1,4,-4,1,-4,462,22000,2,35000,-4,2,0,10000,0,0,1,0,0
3225,6,-4,-4,-4,0,-4,-4,-5,-4,51,1,4,-4,0,-4,531,-4,3,-2,-4,2,0,2000,2000,2000,1,0,1
3228,6,-4,92,-4,0,-4,-4,12,-4,51,1,2,-4,0,-4,453,22000,3,6000,-4,2,0,0,0,10000,1,0,1
3242,6,-4,84,-4,-5,-5,-5,16,-4,52,1,6,-4,0,-4,595,30000,2,-1,-4,1,0,0,0,10000,1,0,1
3245,6,-4,-4,-4,0,-4,1,-5,-4,49,1,4,-4,0,-4,503,12000,2,25000,-4,2,0,3300,3300,3300,1,0,1
3291,1,21,122,16,1,10,10,18,-4,57,1,8,-4,0,1,373,48000,2,60000,-4,1,0,10000,0,0,1,0,1
3300,6,-4,114,-4,0,-4,-4,16,-4,56,1,8,-4,0,-4,373,18000,3,-2,-4,1,1,-2,-2,-2,1,0,1
3312,6,-4,999,-4,1,10,-4,12,-4,52,1,4,-4,0,-4,416,-1,3,20000,-4,2,0,1000,4000,5000,1,1,0
3314,6,-4,88,-5,-5,-5,-5,-5,-4,53,6,-4,-4,0,-4,519,-4,4,20000,-4,1,0,0,0,10000,1,1,1
3324,6,-4,124,-4,0,-4,2,13,-4,53,1,8,-4,0,1,438,-4,2,99999,-4,2,1,5000,2500,2500,1,0,1
3326,6,18,107,-4,0,-4,-4,9,-4,55,3,-4,-4,0,-4,536,-4,3,-1,1,2,0,0,10000,0,1,1,1
3342,6,18,77,-4,0,-4,1,12,-4,54,5,-4,-4,0,-4,623,-4,5,2000,-4,2,0,0,0,0,1,0,1
3345,6,-4,75,-4,0,-4,3,14,-4,52,1,6,-4,0,-4,376,-4,2,-2,-4,1,0,0,0,0,1,0,1
3358,6,18,87,-4,0,-4,2,12,-4,55,6,-4,-4,0,-4,477,-4,4,30000,-4,1,0,10000,0,0,1,1,0
3359,6,17,-4,-4,0,-4,-4,12,-4,57,3,-4,-4,0,-4,555,7200,4,92000,-4,3,0,0,0,0,1,0,1
3367,6,-4,999,13,0,-4,-4,15,-4,51,4,-4,-4,0,1,586,38000,3,38000,-4,1,0,-2,5000,5000,1,0,0
3369,1,14,-4,-4,0,-4,-4,6,-4,56,1,4,-4,0,-4,427,-4,4,25000,-4,1,0,200,200,200,1,0,1
3371,1,17,102,-4,0,-4,1,12,-4,58,1,4,-4,0,-4,591,-4,6,-2,-4,2,0,0,0,10000,1,1,1
3392,6,16,90,-4,0,-4,-4,14,-4,52,1,5,-4,0,-4,436,21000,3,-2,-4,2,0,-2,-2,-2,1,1,1
3394,6,-4,87,-4,1,8,2,16,-4,51,4,-4,-4,0,1,373,66000,6,50000,-4,2,1,7500,1250,1250,1,0,1
3415,6,-4,999,-4,1,10,2,12,-4,51,6,-4,-4,0,1,546,-4,5,10000,-4,3,0,1000,1500,7500,1,1,1
3435,1,17,-4,-4,1,-4,25,11,-4,54,4,-4,-4,0,-4,640,-4,3,2,0,2,0,0,0,10000,1,0,0
3494,1,18,96,-4,1,-4,-4,12,-4,57,4,-4,-4,1,-4,471,-4,3,30000,-4,2,0,5000,0,5000,1,0,1
3517,6,-4,-4,-4,1,5,5,16,-4,51,4,-4,-4,0,1,587,32000,3,30000,-4,2,0,0,2000,8000,1,0,0
3526,1,16,101,-4,0,-4,-4,12,-4,56,1,10,-4,0,-4,373,-2,2,50000,-4,1,0,-2,-2,-2,1,0,1
3530,6,18,133,-4,1,1,2,18,-4,53,4,-4,-4,0,1,577,-4,3,30000,-4,1,1,0,0,0,1,0,0
3537,6,17,84,-4,0,-4,2,11,-4,57,4,-4,-4,0,1,604,-4,4,20000,-4,2,0,0,5000,5000,1,0,0
3573,4,15,-4,-4,0,-4,-4,12,-4,53,1,-4,-4,0,0,631,-4,5,3500,-4,3,0,10000,0,0,1,0,0
3602,1,-4,83,-4,-5,-5,-5,-5,-4,54,4,-4,-4,0,0,416,-4,5,100000,-4,2,0,0,0,0,1,0,0
3603,6,18,102,-4,0,-4,3,16,-4,53,6,-4,-4,0,0,373,37500,4,9000,-4,2,1,0,5000,5000,1,1,0
3663,1,17,102,-4,0,-4,2,-5,-4,55,1,-4,-4,1,1,494,-4,5,30000,-4,1,1,0,0,10000,1,0,0
3681,6,-4,999,-4,0,-4,-4,14,-4,51,6,-4,-4,0,0,511,50000,4,75000,1,2,0,-2,-2,-2,1,0,0
3688,1,17,108,14,1,-4,2,14,-4,58,1,4,-4,1,0,373,-2,1,-2,-4,1,1,2000,0,0,1,0,0
3692,6,-4,-4,-4,0,-4,-4,16,-4,50,5,-4,-4,0,1,373,60000,2,55000,1,2,1,0,5000,5000,1,0,0
3703,1,21,115,-5,-5,-5,-5,-5,-4,58,4,-4,-4,0,1,655,-1,2,-1,1,2,0,0,0,10000,1,0,0
3705,1,23,103,-4,0,-4,-4,13,-4,59,1,4,-4,0,-4,475,-4,2,36000,-4,2,0,-2,-2,-2,1,0,0
3716,1,17,103,-4,0,-4,-4,12,-4,57,1,6,-4,0,0,426,17000,2,50000,-4,1,0,10000,0,0,1,0,0
3723,6,-4,112,-4,0,-4,-4,18,-4,52,6,-4,-4,0,0,428,46000,1,35000,-4,1,0,5000,0,5000,1,0,0
3731,6,18,115,-4,1,10,-4,12,-4,54,6,-4,-4,1,1,416,59964,3,59964,-4,2,0,3000,7000,0,1,0,0
3744,6,-4,111,-5,0,-4,5,18,-4,52,6,-4,-4,0,1,575,38000,1,18000,-4,1,1,0,5000,5000,1,0,0
3757,6,-4,-4,-4,0,-4,-4,14,-4,49,6,-4,-4,0,1,654,-4,5,30000,-4,4,0,0,0,10000,1,1,0
3763,6,-4,-4,-4,0,-4,-4,18,-4,52,1,10,-4,0,1,424,48000,2,-2,1,2,0,0,0,10000,1,0,0
3773,1,21,124,-4,0,-4,2,18,-4,59,1,4,-4,0,-4,514,-4,1,-1,-4,1,1,5000,5000,0,1,0,0
3779,6,19,107,-4,1,20,20,14,-4,56,4,-4,-4,0,1,375,44720,3,35000,-4,1,0,2500,2500,5000,1,0,0
3790,1,18,103,-4,0,-4,2,-5,-4,58,4,-4,-4,0,1,433,-4,2,20000,-4,2,1,5000,5000,0,1,0,0
3808,6,-4,116,-4,0,-4,-4,18,-4,50,1,4,-4,0,1,460,67000,3,30000,1,1,0,6000,1000,2000,1,1,0
3813,1,18,78,-4,1,20,3,12,-4,57,4,-4,-4,0,1,424,-1,3,18000,-4,1,0,5000,5000,0,1,0,0
3815,6,-4,110,-4,0,-4,2,13,-4,51,1,6,-4,0,1,447,55900,2,24000,-4,2,0,5000,2000,3000,1,0,0
3816,6,-4,-4,-4,0,-4,2,14,-4,49,4,-4,-4,0,0,373,65000,2,12000,-4,1,0,7000,3000,0,1,0,0
3833,6,-4,125,-4,0,-4,-4,18,-4,52,5,-4,-4,0,1,615,67000,2,100000,-4,3,0,1000,4500,4500,1,0,0
3889,6,21,109,-4,0,-4,-4,17,-4,57,4,-4,-4,0,0,452,83000,2,48000,-4,1,0,0,5000,5000,1,0,0
3902,6,-4,-4,-4,0,-4,1,15,-4,50,1,10,-4,0,-4,597,14000,3,-2,1,2,0,-2,-2,-2,1,1,0
3915,1,17,67,-4,1,5,2,12,-4,53,4,-4,-4,0,1,432,-2,6,-2,-4,2,0,7000,0,3000,1,0,0
3927,1,18,74,-4,0,-4,-4,12,-4,58,5,-4,-4,0,-4,516,24000,3,-2,-4,1,0,0,0,10000,1,0,0
3945,6,-4,-4,-4,0,-4,1,12,-4,52,1,4,-4,0,-4,458,80000,3,-2,-4,2,0,-2,-2,-2,1,0,0
3988,1,17,-4,-4,1,-4,8,12,-4,60,4,-4,-4,1,1,513,67640,2,36000,-4,1,0,0,0,10000,1,0,0
3992,6,-4,93,-4,0,-4,-4,14,-4,53,3,-4,-4,0,1,379,34000,4,30000,-4,2,0,0,3000,7000,1,0,0
3994,6,-4,-4,-4,0,-4,-4,12,-4,49,1,2,-4,0,-4,556,7000,3,35000,-4,2,0,0,0,10000,1,1,0
4017,1,18,96,-4,0,-4,1,12,-4,55,1,6,-4,0,1,457,48000,2,20000,-4,1,0,2500,2500,5000,1,0,1
4019,6,-4,84,-4,1,10,-4,-5,-4,51,1,4,-4,0,1,373,10000,2,40000,-4,1,0,0,0,10000,1,0,0
4026,6,15,-4,-4,0,-4,-4,10,-4,55,1,1,-4,0,-4,559,12000,1,-2,-4,2,0,-2,-2,-2,1,0,0
4027,6,-4,-4,-4,-5,-5,-5,12,-4,50,4,-4,-4,0,-4,503,12000,1,30000,-4,1,0,0,0,0,1,0,0
4030,1,16,114,-4,1,20,-4,10,-4,55,4,-4,-4,1,-4,416,-4,2,6500,-4,2,0,0,0,10000,1,0,1
4051,1,18,104,-4,0,-4,1,12,-4,58,4,-4,-4,0,1,599,9000,6,25000,-4,2,1,-1,-1,-1,1,0,0
4083,6,-4,89,-4,0,-4,2,14,-4,54,1,4,-4,0,0,373,-2,2,25000,-4,1,0,5000,500,0,1,0,0
4113,1,18,100,-4,0,-4,-4,12,-4,55,1,7,-4,0,1,512,-4,4,45000,-4,1,0,0,0,10000,1,0,0
4125,1,18,136,-4,1,10,8,16,-4,57,4,-4,-4,0,1,533,60300,3,30000,-4,2,0,7500,0,2500,1,0,0
4160,6,-4,-4,-4,1,15,12,-5,-4,51,1,6,-4,1,1,373,-4,2,8000,-4,1,0,10000,0,0,1,0,0
4164,6,-4,86,-4,1,10,-4,10,-4,52,1,10,-4,0,-4,-4,-4,5,20000,-4,1,0,-2,-2,-2,1,1,0
4182,6,-4,103,13,0,-4,-4,14,-4,50,1,4,-4,0,-4,536,-4,3,19000,-4,2,1,0,0,10000,1,0,0
4184,6,18,127,-4,0,-4,10,12,-4,55,1,4,-4,0,1,454,48000,2,50000,-4,2,1,5000,0,5000,1,0,0
4187,6,-4,-4,-4,1,-4,-4,-5,-4,50,4,-4,-4,1,1,626,43000,5,18000,-4,2,0,5000,5000,0,1,0,0
4245,6,20,103,-4,0,-4,1,15,-4,57,6,-4,-4,0,1,595,-4,6,-2,-4,2,0,0,0,10000,1,0,0
4258,6,-4,95,-4,0,-4,2,15,-4,51,4,-4,-4,0,1,373,65000,3,40000,1,1,0,7500,0,2500,1,0,1
4264,1,18,110,-5,-5,-5,-5,16,-4,59,4,-4,-4,0,0,373,53000,2,-2,-4,2,1,3000,4000,3000,1,0,1
4279,6,-4,-4,-4,1,9,-4,9,-4,50,4,-4,-4,0,-4,610,-4,3,-2,-4,1,1,-2,-2,-2,1,1,1
4290,6,18,84,-4,0,-4,-4,12,-4,56,6,-4,-4,0,-4,580,-4,4,6732,-4,2,0,-2,-2,-2,1,0,1
4306,6,16,-4,-4,0,-4,-4,14,-4,52,1,7,-4,0,-4,426,24820,3,35000,1,1,1,10000,0,0,1,0,1
4312,1,19,101,-4,-5,-5,-5,12,-4,58,1,6,-4,0,1,486,-1,1,-2,-4,2,0,0,0,10000,1,0,1
4315,1,21,94,-4,0,-4,-4,16,-4,57,1,10,-4,0,-4,535,-4,5,55000,-4,2,0,3300,3300,3400,1,0,1
4318,1,18,96,-4,1,-4,2,12,-4,56,1,5,-4,0,0,430,-4,2,50000,-4,1,0,0,10000,0,1,0,1
4345,6,-4,-4,-4,0,-4,1,12,-4,51,1,4,-4,0,-4,373,60000,3,-2,-4,1,0,0,0,2500,1,1,0
4351,1,19,999,-4,0,-4,3,14,-4,55,5,-4,-4,0,1,528,18500,3,19000,-4,2,0,0,1500,1500,1,0,0
4353,6,-4,89,-4,0,-4,-4,-5,-4,56,1,4,-4,0,-4,373,-4,3,-1,-4,2,0,0,0,0,1,0,1
4380,6,-4,-4,-4,-4,-4,-4,13,-4,50,4,-4,-4,0,1,375,-4,4,-2,-4,2,0,-2,-2,-2,1,1,1
4397,6,-4,105,18,0,-4,15,18,-4,54,4,-4,-4,0,1,494,42000,3,50000,-4,1,1,5000,0,5000,1,1,1
4415,6,-4,-4,-5,1,2,-4,13,-4,50,1,9,-4,1,-4,469,-4,3,25000,-4,1,0,10000,0,0,1,0,0
4435,6,-4,113,-4,0,-4,-4,18,-4,50,1,10,-4,0,0,416,53000,3,80000,-4,1,1,1000,0,1000,1,0,1
4454,6,17,102,-4,0,-4,-4,-5,-4,54,1,-1,-4,0,-4,474,-1,3,-1,-4,2,0,0,0,10000,1,0,1
4455,1,18,94,-5,-5,-5,-5,12,-4,59,1,-1,-4,0,-4,373,-1,2,-2,-4,2,0,0,0,0,1,0,1
4457,6,17,999,-4,-5,-5,-5,11,-4,53,1,4,-4,0,-4,373,-1,2,-1,-4,1,0,-1,-1,-1,1,0,1
4465,1,16,-4,-4,0,-4,-4,10,-4,57,4,-4,-4,0,-4,486,-2,3,-2,-4,2,0,-2,-2,-2,1,0,1
4466,5,18,999,-4,0,-4,-1,12,-4,61,3,-4,-4,0,-4,373,10000,2,15000,-4,2,0,-2,-2,-2,1,1,1
4468,6,-4,80,-4,-4,-4,-4,18,-4,52,6,-4,-4,0,-4,373,-1,2,-1,-4,2,0,0,0,0,1,0,1
4488,6,-4,104,-4,0,-4,-4,12,-4,52,4,-4,-4,0,-4,373,24000,3,25000,-4,1,0,0,0,10000,1,0,1
4492,4,17,106,-4,0,-4,-4,12,-4,56,1,4,-4,0,0,373,19000,4,65000,-4,1,0,5000,5000,0,1,0,1
4502,6,21,95,-5,1,-4,-4,13,-4,59,4,-4,-4,0,1,387,30000,1,-2,-4,1,0,0,0,0,1,0,1
4505,6,-4,130,-4,0,-4,20,18,-4,57,1,10,-4,0,1,462,-4,-1,-1,-4,2,1,5000,0,5000,1,1,0
4516,6,-4,-4,18,0,-4,-4,18,-4,50,1,9,-4,0,-4,373,13300,3,-2,-4,1,0,-2,-2,-2,1,0,1
4538,6,-4,50,-4,0,-4,-4,10,-4,54,1,3,-4,0,-4,771,-4,5,16000,-4,3,0,2000,2000,6000,1,0,1
4542,6,17,107,12,1,15,15,12,-4,54,1,4,-4,0,-4,391,10000,2,20000,-4,1,0,5000,5000,0,1,0,1
4569,6,18,109,-4,0,-4,-4,12,-4,57,1,2,-4,0,-4,424,28216,3,-2,-4,1,0,0,2500,7500,1,0,1
4571,6,-4,93,-4,0,-4,1,18,-4,53,4,-4,-4,0,-4,426,30000,2,20000,-4,1,1,500,500,9000,1,1,1
4589,6,-4,-4,-4,-5,-5,-5,-5,-4,50,1,6,-4,0,-4,437,-4,6,50000,-4,2,0,0,7500,2500,1,0,0
4591,2,18,104,-4,1,12,2,14,-4,55,4,-4,-4,1,1,382,26000,3,24000,-4,2,0,5000,5000,0,1,0,0
4602,6,-4,94,-4,0,-4,3,18,-4,50,1,10,-4,0,1,373,65000,1,30000,-4,1,0,4000,5000,1000,1,0,1
4606,6,-4,-4,-5,0,-4,-4,12,-4,50,1,4,-4,1,-4,373,17000,4,-2,-4,1,0,0,0,0,1,0,1
4621,6,-4,62,-4,0,-4,-4,-5,-4,53,4,-4,-4,0,-4,425,15000,3,9000,-4,1,1,2000,0,8000,1,0,1
4633,6,21,70,-4,0,-4,-4,12,-4,58,6,-4,-4,0,-4,534,-4,2,-2,-4,1,0,-2,-2,-2,1,0,1
4634,6,-4,-4,15,0,-4,-4,15,-4,50,3,-4,-4,0,-4,373,-1,3,25000,-4,2,0,2000,2000,6000,1,0,1
4657,6,-4,-4,-4,0,-4,-4,12,-4,51,3,-4,-4,0,-4,474,-4,3,-2,-4,2,0,0,0,10000,1,0,0
4674,6,-4,113,-5,-5,-5,-5,18,-4,51,6,-4,-4,0,1,602,-1,2,-1,-4,2,0,5000,5000,0,1,0,1
4685,6,-4,84,-4,0,-4,5,17,-4,50,1,4,-4,0,-4,468,-1,1,-1,-4,1,0,-2,-2,-2,1,0,1
4690,6,18,95,-4,0,-4,-4,12,-4,54,1,4,-4,0,-4,454,10000,3,25000,-4,2,0,0,6000,4000,1,1,1
4736,6,-4,-4,-4,0,-4,-4,13,-4,50,1,8,-4,0,-4,373,30000,1,-2,-4,1,0,-1,-1,-1,1,0,0
4737,6,19,94,-4,0,-4,6,14,-4,55,1,8,-4,0,1,606,700,4,70000,-4,2,0,0,0,2000,1,0,0
4739,1,19,107,-4,0,-4,5,13,-4,58,1,5,-4,0,1,373,50000,3,90000,-4,1,0,5000,2500,2500,1,0,0
4759,6,-4,108,18,0,-4,-4,18,-4,54,1,10,-4,0,-4,411,42000,2,60000,1,1,0,0,0,10000,1,0,1
4805,6,-4,122,-4,0,-4,20,17,-4,53,1,8,-4,0,1,451,-4,1,80000,-4,1,1,1500,0,8500,1,1,1
4825,1,22,999,-4,0,-4,-4,17,-4,59,4,-4,-4,0,-4,445,53778,2,30000,-4,1,0,0,0,0,1,0,1
4829,6,-4,-4,-4,0,-4,-4,14,-4,50,1,11,-4,-2,-4,613,-4,3,-2,-4,2,0,-2,-2,-2,1,0,1
4836,6,-4,94,-4,0,-4,-4,12,-4,50,1,2,-4,0,-4,596,-4,7,50000,-4,2,1,0,0,5000,1,0,0
4842,6,15,-4,-4,1,-4,30,9,-4,52,4,-4,-4,1,1,614,-4,3,-2,-4,2,0,-2,-2,-2,1,0,1
4848,6,-4,-4,-4,0,-4,-4,-5,-4,50,1,4,-4,0,-4,619,-4,3,-2,-4,2,0,0,0,0,1,0,1
4858,6,-4,90,-4,0,-4,-4,12,-4,54,1,4,-4,0,-4,417,-4,4,50000,-4,2,0,0,0,10000,1,1,1
4862,6,-4,-4,-4,0,-4,1,12,-4,54,6,-4,-4,0,1,563,18000,6,25000,-4,3,0,5000,0,0,1,0,0
4867,6,17,95,-4,-5,-5,-5,12,-4,53,3,-4,-4,0,-4,387,-4,2,45000,-4,1,0,1000,0,0,1,1,1
4882,1,18,107,-4,0,-4,-4,12,-4,59,1,9,-4,0,-4,491,-1,3,-2,-4,2,0,3300,3300,3300,1,0,1
4926,6,-4,-4,16,0,-4,1,16,-4,51,4,-4,-4,0,-4,609,48000,3,36000,-4,2,0,400,1000,600,1,1,1
4937,1,18,-4,-4,0,-4,-4,9,-4,56,5,-4,-4,0,-4,413,-2,3,10000,-4,1,0,2000,0,2000,1,0,1
4945,6,14,-4,-4,1,20,-4,4,-4,53,6,-4,-4,1,-4,658,-4,3,5000,-4,1,0,-2,-2,-2,1,0,1
4953,6,-4,-4,-4,0,-4,-4,11,-4,53,4,-4,-4,0,-4,373,-2,4,-2,-4,1,0,-1,-1,-1,1,0,0
4955,1,19,102,-4,0,-4,-4,-5,-4,57,3,-4,-4,0,0,618,-1,5,-2,-4,3,0,-2,-2,-2,1,1,1
4956,6,17,98,-4,0,-4,-4,-5,-4,57,6,-4,-4,0,-4,589,-4,5,-1,-4,1,0,-1,-1,-1,1,0,0
4957,6,-4,-4,-4,-5,-5,-5,-5,-4,50,4,-4,-4,1,-4,548,27000,3,50000,-4,2,0,0,0,10000,1,0,0
4962,6,-4,119,-4,1,10,1,-5,-4,51,4,-4,-4,0,-4,454,44500,1,20000,1,1,0,6000,0,4000,1,0,1
4965,1,18,110,-4,0,-4,-4,14,-4,56,1,5,-4,0,-4,373,65000,2,60000,-4,1,0,10000,0,0,1,0,1
4987,6,-4,111,-4,0,-4,-4,12,-4,52,4,-4,-4,0,-4,-4,-4,-1,-1,-4,-1,-1,-1,-1,-1,1,0,1
4999,6,20,95,-4,0,-4,2,18,-4,57,4,-4,-4,0,1,460,50500,6,50000,-4,1,1,7500,2500,0,1,0,1
5003,1,18,73,-4,0,-4,8,12,-4,59,4,-4,-4,0,0,501,-4,3,-2,-4,2,0,-2,-2,-2,1,0,1
5010,1,18,93,-4,0,-4,1,12,-4,58,1,4,-4,0,1,449,150001,1,-1,-4,1,0,0,0,10000,1,0,1
5011,1,-4,104,-4,0,-4,-4,18,-4,57,4,-4,-4,0,0,637,63000,1,-2,-4,3,1,10000,0,0,1,0,1
5017,6,19,103,-4,1,18,1,12,-4,54,4,-4,-4,1,0,493,40200,4,-2,-4,2,1,0,0,10000,1,0,1
5025,6,-4,116,-4,0,-4,-4,16,-4,54,4,-4,-4,0,-4,580,-4,5,-1,-4,2,1,-2,-2,-2,1,0,1
5028,6,-4,113,17,1,-4,-4,16,-4,52,4,-4,-4,0,1,373,32000,5,32000,-4,2,0,6000,0,4000,1,1,1
5037,6,-4,101,-5,0,-4,-4,-5,-4,53,4,-4,-4,0,-4,571,-4,7,7200,-4,4,0,0,5000,5000,1,1,1
5088,6,19,80,-4,0,-4,-4,12,-4,59,6,-4,-4,0,-4,500,-2,-2,-2,-4,2,0,-2,-2,-2,1,0,1
5092,6,16,-4,-4,0,-4,15,8,-4,52,3,-4,-4,0,0,486,12000,3,11000,-4,2,0,0,0,0,1,0,1
5117,6,-4,-4,-4,0,-4,4,12,-4,50,1,10,-4,0,1,446,120000,3,100000,-4,1,0,10000,0,0,1,0,1
5120,6,-4,69,-5,0,-4,-4,11,-4,53,1,1,-4,0,-4,373,-1,2,-1,-4,2,0,-1,-1,-1,1,0,1
5156,6,18,77,-4,0,-4,-4,12,-4,55,1,2,-4,0,-4,555,-4,4,-2,-4,3,0,1000,1000,1000,1,0,1
6,6,19,82,-4,0,-4,3,12,-4,57,1,6,-4,0,1,427,25000,5,-2,-4,1,1,10000,0,0,2,0,0
8,1,16,72,-4,0,-4,-4,10,-4,60,4,-4,-4,0,-4,626,-4,3,22000,-4,2,0,0,0,10000,2,1,1
14,6,-4,129,-4,0,-4,5,15,-4,55,1,8,-4,0,1,373,25000,2,60000,-4,1,0,2500,5000,2500,2,0,0
23,6,21,111,-4,0,-4,1,15,-4,56,1,8,-4,0,1,373,59800,2,70000,1,1,0,6000,0,4000,2,0,0
24,1,21,107,-4,1,-4,1,14,-4,56,4,-4,-4,0,1,406,52000,3,50000,-4,3,0,5000,2500,2500,2,0,0
25,1,21,131,-4,0,-4,-4,15,-4,57,1,8,-4,0,1,373,42000,2,45000,-4,2,0,0,0,10000,2,0,0
28,1,18,119,-4,0,-4,-4,15,-4,54,1,4,-4,0,-4,454,49000,1,-2,-4,1,0,0,0,10000,2,0,0
35,6,-4,113,-4,0,-4,-4,11,-4,51,1,1,-4,0,0,488,-4,2,12000,-4,1,0,5000,0,5000,2,1,0
42,6,-4,101,-5,-5,-5,-5,12,-4,50,1,-4,-4,0,-4,430,-4,4,-1,-4,2,0,3500,3500,3000,2,0,0
43,6,-4,-4,-4,0,-4,2,17,-4,50,1,8,-4,0,1,536,46000,3,100000,-4,1,0,10000,0,0,2,1,0
